simple_name,class_name,jar_name,jar_path
RegularRupture,gov.usgs.earthquake.nshmp.model.RegularRupture,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
ResourceType,software.amazon.awssdk.services.ssm.model.ResourceType,ssm-2.29.52.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\software.amazon.awssdk\ssm\2.29.52\a22192229557a1064b57acceea764c120c86acce\ssm-2.29.52.jar
ResourceTypeForTagging,software.amazon.awssdk.services.ssm.model.ResourceTypeForTagging,ssm-2.29.52.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\software.amazon.awssdk\ssm\2.29.52\a22192229557a1064b57acceea764c120c86acce\ssm-2.29.52.jar
Rupture,gov.usgs.earthquake.nshmp.model.Rupture,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
RuptureFloating,gov.usgs.earthquake.nshmp.fault.surface.RuptureFloating,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
RuptureScaling,gov.usgs.earthquake.nshmp.fault.surface.RuptureScaling,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
RuptureSet,gov.usgs.earthquake.nshmp.model.RuptureSet,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
RuptureSurface,gov.usgs.earthquake.nshmp.fault.surface.RuptureSurface,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
SlabRuptureSet,gov.usgs.earthquake.nshmp.model.SlabRuptureSet,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
SourceTree,gov.usgs.earthquake.nshmp.model.SourceTree,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
SourceType,gov.usgs.earthquake.nshmp.model.SourceType,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
SourceType,software.amazon.awssdk.services.ssm.model.SourceType,ssm-2.29.52.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\software.amazon.awssdk\ssm\2.29.52\a22192229557a1064b57acceea764c120c86acce\ssm-2.29.52.jar
SystemRuptureSet,gov.usgs.earthquake.nshmp.model.SystemRuptureSet,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
ZoneRuptureSet,gov.usgs.earthquake.nshmp.model.ZoneRuptureSet,nshmp-lib-1.7.3.jar,C:\Users\USER\.gradle\caches\modules-2\files-2.1\ghsc\nshmp-lib\1.7.3\8bfb8fabae65995ba989c8b87b1741e11035e608\nshmp-lib-1.7.3.jar
